Emittent;BaFin-ID;ISIN;Meldepflichtiger;Position / Status;Art des Instruments;Art des Geschäfts;Durchschnittspreis;Aggregiertes Volumen;Mitteilungsdatum;Datum des Geschäfts;Ort des Geschäfts;Datum der Aktivierung
Infineon Technologies AG;40001924;DE0006231004;Urschitz, Andreas;Vorstand;Aktie;Sonstiges;35,12 EUR;150.325,42 EUR;09.03.2023;09.03.2023;;10.03.2023 08:17:55
Infineon Technologies AG;40001924;DE0006231004;Hanebeck, Jochen;Vorstand;Aktie;Sonstiges;35,12 EUR;101.715,52 EUR;09.03.2023;09.03.2023;Xetra;10.03.2023 08:17:55
Infineon Technologies AG;40001924;DE0006231004;Hanebeck, Jochen;Vorstand;Aktie;Sonstiges;35,12 EUR;210.525,84 EUR;09.03.2023;09.03.2023;;10.03.2023 08:17:55
LEG Immobilien SE;40019594;DE000LEG1110;Wiegel, Dr. Volker;Vorstand;Aktie;Kauf;62,00 EUR;60.447,28 EUR;09.03.2023;09.03.2023;Xetra;10.03.2023 08:07:06
3U Holding AG;40001675;DE0005167902;Schmidt, Michael;Aufsichtsrat;Aktie;Kauf;4,96 EUR;4.960,00 EUR;13.03.2023;09.03.2023;Xetra;13.03.2023 13:11:45
3U Holding AG;40001675;DE0005167902;Schmidt, Michael;Aufsichtsrat;Aktie;Kauf;4,89 EUR;40.777,71 EUR;13.03.2023;09.03.2023;Xetra;13.03.2023 13:05:55
Infineon Technologies AG;40001924;DE0006231004;Gruber, Peter;Aufsichtsrat;Aktie;Sonstiges;35,12 EUR;41.936,58 EUR;09.03.2023;09.03.2023;Xetra;10.03.2023 08:17:55
Infineon Technologies AG;40001924;DE0006231004;Gruber, Peter;Aufsichtsrat;Aktie;Sonstiges;35,12 EUR;86.753,22 EUR;09.03.2023;09.03.2023;;10.03.2023 08:17:55
HAMBORNER REIT AG;40001026;DE000DDZ56Z9;CMB Beteiligungs KG;in enger Beziehung;Derivat;Sonstiges;5,64 EUR;16.920,00 EUR;10.03.2023;09.03.2023;Deutsche Börse Frankfurt;10.03.2023 11:16:45
action press AG;40031194;DE000A3ESE35;GFI Gesellschaft für Informationswissenschaft GmbH;in enger Beziehung;Aktie;Verkauf;1,45 EUR;1.450.000,00 EUR;13.03.2023;09.03.2023;;13.03.2023 13:17:58
Neon Equity AG;40029518;DE000A3DW408;TO Holding 1 GmbH;in enger Beziehung;Aktie;Verkauf;11,00 EUR;2.899.996,00 EUR;14.03.2023;09.03.2023;;14.03.2023 14:57:47
