Emittent;BaFin-ID;ISIN;Meldepflichtiger;Position / Status;Art des Instruments;Art des Geschäfts;Durchschnittspreis;Aggregiertes Volumen;Mitteilungsdatum;Datum des Geschäfts;Ort des Geschäfts;Datum der Aktivierung
ENCAVIS AG;20000258;DE0006095003;Husmann, Dr. Christoph;Vorstand;Aktie;Kauf;14,26 EUR;28.520,00 EUR;29.03.2023;29.03.2023;XETRA;29.03.2023 15:52:03
ENCAVIS AG;20000258;DE0006095003;Husmann, Dr. Christoph;Vorstand;Aktie;Kauf;14,54 EUR;21.591,32 EUR;29.03.2023;29.03.2023;XETRA;29.03.2023 15:52:03
ENCAVIS AG;20000258;DE0006095003;Husmann, Dr. Christoph;Vorstand;Aktie;Kauf;14,53 EUR;21.800,70 EUR;29.03.2023;29.03.2023;XETRA;29.03.2023 15:52:03
LEG Immobilien SE;40019594;DE000LEG1110;von Lackum, Lars;Vorstand;Aktie;Kauf;49,03 EUR;98.056,00 EUR;30.03.2023;29.03.2023;Tradegate;30.03.2023 14:01:01
aap Implantate AG;40001831;DE000A3H2101;Hahn, Marek;Vorstand;Aktie;Sonstiges;1,40 EUR;52.920,00 EUR;30.03.2023;29.03.2023;;30.03.2023 13:49:39
aap Implantate AG;40001831;DE000A3H2101;di Girolamo, Rubino;Vorstand;Aktie;Sonstiges;1,40 EUR;83.743,80 EUR;30.03.2023;29.03.2023;;30.03.2023 13:49:39
aap Implantate AG;40001831;DE000A3H2101;Mierzejewska, Agnieszka;Vorstand;Aktie;Sonstiges;1,40 EUR;26.800,20 EUR;30.03.2023;29.03.2023;;30.03.2023 13:43:39
GRENKE AG;40002178;DE000A161N30;Christ, Gilles;Vorstand;Aktie;Kauf;24,20 EUR;9.680,00 EUR;30.03.2023;29.03.2023;Xetra;30.03.2023 13:37:18
ENCAVIS AG;20000258;DE0006095003;Schmitz, Dr. Rolf Martin;Aufsichtsrat;Aktie;Kauf;14,40 EUR;10.083,50 EUR;30.03.2023;29.03.2023;Tradegate;30.03.2023 13:37:18
ENCAVIS AG;20000258;DE0006095003;Schmitz, Dr. Rolf Martin;Aufsichtsrat;Aktie;Kauf;14,50 EUR;189.950,00 EUR;30.03.2023;29.03.2023;Tradegate;30.03.2023 13:37:18
aap Implantate AG;40001831;DE000A3H2101;Merval AG;in enger Beziehung;Aktie;Sonstiges;1,40 EUR;140.000,00 EUR;30.03.2023;29.03.2023;;30.03.2023 13:43:39
ENCAVIS AG;20000258;DE0006095003;ABACON CAPITAL GmbH;in enger Beziehung;Aktie;Kauf;14,77 EUR;1.476.981,61 EUR;30.03.2023;29.03.2023;XETRA;30.03.2023 13:37:18
aap Implantate AG;40001831;DE000A3H2101;Deepblue Holding AG;in enger Beziehung;Aktie;Sonstiges;1,40 EUR;249.999,40 EUR;30.03.2023;29.03.2023;;30.03.2023 13:43:39
Elmos Semiconductor SE;40001726;DE0005677108;Dienstuhl, Dr. Jan;Vorstand;Aktie;Sonstiges;;;30.03.2023;28.03.2023;;30.03.2023 13:49:39
Elmos Semiconductor SE;40001726;DE0005677108;Meyer, Guido;Vorstand;Aktie;Sonstiges;;;30.03.2023;28.03.2023;;30.03.2023 13:49:39
Elmos Semiconductor SE;40001726;DE0005677108;Schneider, Dr. Arne;Vorstand;Aktie;Sonstiges;;;30.03.2023;28.03.2023;;30.03.2023 13:49:39
RWE Aktiengesellschaft;40001211;DE0007037129;Brandt, Dr. Werner;Aufsichtsrat;Aktie;Kauf;38,24 EUR;107.068,90 EUR;29.03.2023;28.03.2023;XETRA;29.03.2023 12:41:17
MERCK Kommanditgesellschaft auf Aktien;40001134;DE0006599905;Garijo Lopez, Belén;Sonstige Führungsperson;Aktie;Kauf;172,63 EUR;109.795,83 EUR;29.03.2023;28.03.2023;XETRA;29.03.2023 12:41:17
MERCK Kommanditgesellschaft auf Aktien;40001134;DE0006599905;Guenter, Peter;Sonstige Führungsperson;Aktie;Kauf;172,63 EUR;412.252,26 EUR;29.03.2023;28.03.2023;XETRA;29.03.2023 12:41:17
MERCK Kommanditgesellschaft auf Aktien;40001134;DE0006599905;Heinzel, Dr. Matthias;Sonstige Führungsperson;Aktie;Kauf;172,63 EUR;290.717,26 EUR;29.03.2023;28.03.2023;XETRA;29.03.2023 12:41:17
InCity Immobilien AG;40005694;DE000A0HNF96;Realsoul Holding S.A.;in enger Beziehung;Aktie;Kauf;1,28 EUR;3.582,72 EUR;29.03.2023;28.03.2023;Xetra;30.03.2023 13:37:18
123fahrschule SE;40031053;DE000A2P4HL9;KlickVentures GmbH;in enger Beziehung;Aktie;Kauf;4,49 EUR;4.492,80 EUR;28.03.2023;28.03.2023;XETRA;28.03.2023 17:42:47
sino Aktiengesellschaft;10117593;DE0005765507;Hillen, Ingo;Vorstand;Aktie;Kauf;31,60 EUR;14.220,00 EUR;27.03.2023;27.03.2023;Börse Stuttgart;28.03.2023 13:14:48
sino Aktiengesellschaft;10117593;DE0005765507;Hillen, Ingo;Vorstand;Aktie;Kauf;31,40 EUR;6.123,00 EUR;27.03.2023;27.03.2023;Tradegate;28.03.2023 13:14:48
RWE Aktiengesellschaft;40001211;DE0007037129;Krebber, Dr. Markus;Vorstand;Aktie;Kauf;37,86 EUR;378.603,05 EUR;27.03.2023;27.03.2023;Xetra;27.03.2023 14:17:33
sino Aktiengesellschaft;10117593;DE0005765507;MMI Leisure & Capital Management GmbH;in enger Beziehung;Aktie;Kauf;31,20 EUR;3.931,20 EUR;27.03.2023;27.03.2023;Xetra;28.03.2023 13:14:48
123fahrschule SE;40031053;DE000A2P4HL9;KlickVentures GmbH;in enger Beziehung;Aktie;Kauf;4,76 EUR;4.760,00 EUR;27.03.2023;27.03.2023;XETRA;27.03.2023 14:24:25
DATAGROUP SE;40005058;DE000A0JC8S7;HHS Beteiligungsgesellschaft mbH;in enger Beziehung;Aktie;Kauf;70,30 EUR;5.624.000,00 EUR;28.03.2023;27.03.2023;;28.03.2023 17:30:41
GRENKE AG;10121961;DE000A161N30;Hirsch, Dr. Sebastian;Vorstand;Aktie;Kauf;22,00 EUR;11.000,00 EUR;29.03.2023;24.03.2023;Xetra;29.03.2023 15:52:03
Evonik Industries AG;40011953;DE000EVNK013;Wessel, Thomas;Vorstand;Aktie;Kauf;18,39 EUR;49.655,75 EUR;28.03.2023;24.03.2023;Tradegate;28.03.2023 17:30:41
SGL Carbon SE;40001332;DE0007235301;Dippold, Thomas;Vorstand;Aktie;Kauf;8,17 EUR;99.693,52 EUR;27.03.2023;24.03.2023;;27.03.2023 16:19:16
RWE Aktiengesellschaft;40001211;DE0007037129;Müller, Dr. Michael;Vorstand;Aktie;Kauf;37,54 EUR;50.307,82 EUR;27.03.2023;24.03.2023;XETRA;27.03.2023 14:17:33
GRENKE AG;10121961;DE000A161N30;Hirsch, Dr. Sebastian;Vorstand;Aktie;Kauf;22,00 EUR;500,00 EUR;27.03.2023;24.03.2023;Xetra;27.03.2023 13:59:46
RWE Aktiengesellschaft;40001211;DE0007037129;Sierau, Ullrich;Aufsichtsrat;Aktie;Kauf;37,83 EUR;41.613,00 EUR;28.03.2023;24.03.2023;Tradegate;28.03.2023 17:00:23
Rheinmetall Aktiengesellschaft;40002496;DE0007030009;Mielke, Dr. Michael;Aufsichtsrat;Aktie;Sonstiges;254,80 EUR;41.532,40 EUR;24.03.2023;24.03.2023;;27.03.2023 08:15:34
Vonovia SE;40020637;DE000A1ML7J1;Ulbrich, Christian;Aufsichtsrat;Aktie;Kauf;16,95 EUR;169.500,00 EUR;24.03.2023;24.03.2023;XETRA;24.03.2023 15:24:42
Vantage Towers AG;40030877;DE000A3H3LL2;Rivera, José;Sonstige Führungsperson;Aktie;Verkauf;33,50 EUR;7.571,00 EUR;27.03.2023;24.03.2023;XETRA;28.03.2023 17:00:23
sino Aktiengesellschaft;10117593;DE0005765507;MMI Leisure & Capital Management GmbH;in enger Beziehung;Aktie;Kauf;31,30 EUR;102.325,70 EUR;27.03.2023;24.03.2023;Xetra;28.03.2023 13:20:30
Deutsche Konsum REIT-AG;40024326;DE000A14J1K1;Obotritia Capital KGaA;in enger Beziehung;Schuldtitel;Sonstiges;175,00 EUR;5.075.000,00 EUR;29.03.2023;24.03.2023;;29.03.2023 18:41:12
VARTA AKTIENGESELLSCHAFT;40000882;DE000A0TGJ55;VGG Beteiligungen SE;in enger Beziehung;Aktie;Verkauf;23,80 EUR;28.079.851,18 EUR;24.03.2023;24.03.2023;;24.03.2023 15:43:08
123fahrschule SE;40031053;DE000A2P4HL9;KlickVentures GmbH;in enger Beziehung;Aktie;Kauf;4,68 EUR;1.404,00 EUR;24.03.2023;24.03.2023;XETRA;24.03.2023 13:04:21
Deutsche Konsum REIT-AG;40024326;DE000A14J1K1;Obotritia Capital KGaA;in enger Beziehung;Schuldtitel;Sonstiges;;;29.03.2023;24.03.2023;;29.03.2023 18:41:12
Enapter AG;20000275;DE000A255G02;BluGreen Company Limited;in enger Beziehung;Aktie;Sonstiges;;;28.03.2023;24.03.2023;;28.03.2023 17:42:47
NFON AG;40026829;DE000A0N4N52;Active Ownership Fund SICAV-FIS SCS;in enger Beziehung;Aktie;Kauf;6,54 EUR;2.137.762,50 EUR;28.03.2023;24.03.2023;XETRA;28.03.2023 17:42:47
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;26,08 EUR;19.558,60 EUR;28.03.2023;24.03.2023;Xetra;28.03.2023 17:07:01
Neon Equity AG;40029518;DE000A3DW408;TO Holding 1 GmbH;in enger Beziehung;Aktie;Kauf;10,29 EUR;29.340,00 EUR;28.03.2023;24.03.2023;Xetra;28.03.2023 17:07:01
NFON AG;40026829;DE000A0N4N52;Active Ownership Fund SICAV-FIS SCS;in enger Beziehung;Aktie;Kauf;6,54 EUR;2.137.762,50 EUR;30.03.2023;24.03.2023;;30.03.2023 14:01:01
VERBIO Vereinigte BioEnergie AG;40005572;DE000A0JL9W6;Lüdtke, Prof. Dr. Oliver;Vorstand;Aktie;Sonstiges;55,75 EUR;1.607.450,46 EUR;28.03.2023;23.03.2023;;28.03.2023 17:36:57
VERBIO Vereinigte BioEnergie AG;40005572;DE000A0JL9W6;Niesmann, Theodor;Vorstand;Aktie;Sonstiges;55,75 EUR;1.607.450,46 EUR;28.03.2023;23.03.2023;;28.03.2023 17:36:57
VERBIO Vereinigte BioEnergie AG;40005572;DE000A0JL9W6;Sauter, Bernd;Vorstand;Aktie;Sonstiges;55,75 EUR;1.607.450,46 EUR;28.03.2023;23.03.2023;;28.03.2023 17:36:57
VERBIO Vereinigte BioEnergie AG;40005572;DE000A0JL9W6;Sauter, Claus;Vorstand;Aktie;Sonstiges;55,65 EUR;1.825.348,56 EUR;28.03.2023;23.03.2023;;28.03.2023 17:36:57
PVA TePla AG;40001817;DE0007461006;Ketter, Jalin;Vorstand;Aktie;Kauf;21,44 EUR;50.267,65 EUR;27.03.2023;23.03.2023;Tradegate;27.03.2023 14:11:57
JOST Werke AG;40023873;DE000JST4000;Gottschalk, Prof. Dr. Bernd;Aufsichtsrat;Aktie;Kauf;49,35 EUR;74.025,00 EUR;24.03.2023;23.03.2023;TRADEGATE;24.03.2023 13:44:16
Ernst Russ AG;40003565;DE000A161077;Lorenz-Meyer, Robert;Aufsichtsrat;Aktie;Verkauf;5,38 EUR;269.000,00 EUR;24.03.2023;23.03.2023;;24.03.2023 12:58:43
HAMBORNER REIT AG;40001026;DE000A3H2333;Böge, Claus-Matthias;Aufsichtsrat;Aktie;Kauf;7,05 EUR;10.575,00 EUR;24.03.2023;23.03.2023;;24.03.2023 10:07:45
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;25,80 EUR;8.023,80 EUR;24.03.2023;23.03.2023;Xetra;27.03.2023 08:10:09
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Babelsberger Beteiligungs GmbH;in enger Beziehung;Aktie;Kauf;6,90 EUR;4.695.229,20 EUR;27.03.2023;23.03.2023;;27.03.2023 16:54:20
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Obotritia Alpha Invest GmbH;in enger Beziehung;Aktie;Sonstiges;;;27.03.2023;23.03.2023;;27.03.2023 16:54:20
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Obotritia Alpha Invest GmbH;in enger Beziehung;Aktie;Kauf;6,90 EUR;478.266,60 EUR;27.03.2023;23.03.2023;;27.03.2023 16:54:20
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Obotritia Capital KGaA;in enger Beziehung;Aktie;Verkauf;6,90 EUR;4.695.229,20 EUR;27.03.2023;23.03.2023;;27.03.2023 16:54:20
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Babelsberger Beteiligungs GmbH;in enger Beziehung;Aktie;Sonstiges;;;27.03.2023;23.03.2023;;27.03.2023 16:54:20
audius SE;40025224;NL0006129074;audius AG;in enger Beziehung;Aktie;Verkauf;16,00 EUR;1.940.000,00 EUR;27.03.2023;23.03.2023;;27.03.2023 14:05:24
Neon Equity AG;40029518;DE000A3DW408;TO Holding 1 GmbH;in enger Beziehung;Aktie;Kauf;10,08 EUR;13.610,00 EUR;24.03.2023;23.03.2023;Xetra;27.03.2023 08:10:09
123fahrschule SE;40031053;DE000A2P4HL9;KlickVentures GmbH;in enger Beziehung;Aktie;Kauf;4,60 EUR;19.330,00 EUR;24.03.2023;23.03.2023;XETRA;24.03.2023 13:04:21
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Obotritia Capital KGaA;in enger Beziehung;Aktie;Verkauf;6,90 EUR;478.266,60 EUR;27.03.2023;23.03.2023;;28.03.2023 17:42:47
K+S Aktiengesellschaft;40001292;DE000KSAG888;Tröltzsch, Dr. Carin-Martina;Vorstand;Aktie;Kauf;19,53 EUR;48.034,21 EUR;23.03.2023;22.03.2023;XETRA;23.03.2023 11:10:45
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;25,76 EUR;51.699,10 EUR;24.03.2023;22.03.2023;Xetra;27.03.2023 08:10:09
Biofrontera AG;40005059;DE0006046113;Deutsche Balaton Aktiengesellschaft;in enger Beziehung;Aktie;Kauf;1,27 EUR;7.366,00 EUR;24.03.2023;22.03.2023;Xetra;24.03.2023 15:18:39
Heliad Equity Partners GmbH & Co. KGaA;40002255;DE000A0L1NN5;Müller, Stefan;Aufsichtsrat;Aktie;Sonstiges;4,40 EUR;22.000,00 EUR;22.03.2023;21.03.2023;;22.03.2023 13:09:12
ADTRAN Holdings, Inc.;50087419;US00486H1059;Foliano, Michael;Sonstige Führungsperson;Aktie;Sonstiges;14,76 USD;19,88 USD;27.03.2023;21.03.2023;NASDAQ;27.03.2023 16:54:20
ADTRAN Holdings, Inc.;50087419;US00486H1059;Wilson Jr, James Denson;Sonstige Führungsperson;Aktie;Sonstiges;14,76 USD;330,05 USD;27.03.2023;21.03.2023;NASDAQ;27.03.2023 16:54:20
Mühlbauer Holding AG;40001772;DE0006627201;SECURA Vermögensverwaltungs GmbH;in enger Beziehung;Aktie;Kauf;61,00 EUR;945.561,00 EUR;22.03.2023;21.03.2023;;22.03.2023 15:35:09
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;26,22 EUR;19.326,30 EUR;24.03.2023;21.03.2023;Xetra;27.03.2023 08:10:09
Deutsche Konsum REIT-AG;40024326;DE000A14J1K1;Obotritia Capital KGaA;in enger Beziehung;Schuldtitel;Sonstiges;187,52 EUR;1.687.680,00 EUR;24.03.2023;21.03.2023;;24.03.2023 15:43:08
VARTA AKTIENGESELLSCHAFT;40000882;DE000A0TGJ55;VGG Beteiligungen SE;in enger Beziehung;Aktie;Sonstiges;22,85 EUR;50.727.000,00 EUR;24.03.2023;21.03.2023;;24.03.2023 15:43:08
Biofrontera AG;40005059;DE0006046113;Deutsche Balaton Aktiengesellschaft;in enger Beziehung;Aktie;Kauf;1,27 EUR;381,00 EUR;24.03.2023;21.03.2023;Xetra;24.03.2023 15:18:39
Deutsche Konsum REIT-AG;40024326;DE000A14J1K1;Obotritia Capital KGaA;in enger Beziehung;Schuldtitel;Sonstiges;;;29.03.2023;21.03.2023;;30.03.2023 13:55:34
METRO AG;40025939;DE000BFB0019;Gasset Giraldez, Rafael;Vorstand;Aktie;Kauf;7,47 EUR;98.283,73 EUR;21.03.2023;20.03.2023;XETRA;22.03.2023 08:23:53
technotrans SE;40001600;DE000A0XYGA7;Hirsch, Peter;Vorstand;Aktie;Kauf;27,11 EUR;46.092,45 EUR;21.03.2023;20.03.2023;XETRA;21.03.2023 15:33:31
Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München;40001467;DE0008430026;Gartside, Nicholas;Vorstand;Aktie;Kauf;299,40 EUR;149.699,99 EUR;20.03.2023;20.03.2023;London Stock Exchange;20.03.2023 15:49:22
GRENKE AG;10121961;DE000A161N30;Rösler, Isabel;Vorstand;Aktie;Kauf;23,16 EUR;6.948,00 EUR;20.03.2023;20.03.2023;Tradegate;20.03.2023 15:49:22
Deutsche Lufthansa Aktiengesellschaft;40001478;DE0008232125;Steenbergen, Remco;Vorstand;Aktie;Kauf;9,44 EUR;283.238,16 EUR;20.03.2023;20.03.2023;XETRA;20.03.2023 15:49:22
HelloFresh SE;40024258;DE000A161408;Gärtner, Christian;Vorstand;Aktie;Kauf;15,55 EUR;31.107,20 EUR;20.03.2023;20.03.2023;Xetra;20.03.2023 15:49:22
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Obotritia Capital KGaA;in enger Beziehung;Aktie;Verkauf;7,30 EUR;3.786.561,10 EUR;22.03.2023;20.03.2023;;22.03.2023 15:35:09
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Obotritia Alpha Invest GmbH;in enger Beziehung;Aktie;Sonstiges;;;22.03.2023;20.03.2023;;22.03.2023 15:35:09
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Obotritia Alpha Invest GmbH;in enger Beziehung;Aktie;Kauf;7,30 EUR;3.786.561,10 EUR;22.03.2023;20.03.2023;;22.03.2023 15:27:57
Ströer SE & Co. KGaA;40012915;DE0007493991;APM Media GmbH & Co. KG;in enger Beziehung;Aktie;Sonstiges;80,00 EUR;8.000.000,00 EUR;22.03.2023;20.03.2023;;22.03.2023 13:09:12
JDC Group AG;40005122;DE000A0B9N37;Grace Beteiligungs GmbH;in enger Beziehung;Aktie;Kauf;17,35 EUR;3.470,00 EUR;22.03.2023;20.03.2023;XETRA;22.03.2023 13:09:12
EXASOL AG;40029490;DE000A0LR9G9;PEN GmbH;in enger Beziehung;Aktie;Kauf;3,67 EUR;109.986,00 EUR;21.03.2023;20.03.2023;;21.03.2023 15:27:34
Rheinmetall Aktiengesellschaft;40002496;DE0007030009;PL Elektronik GmbH;in enger Beziehung;Aktie;Sonstiges;235,90 EUR;1.262.065,00 EUR;23.03.2023;20.03.2023;;24.03.2023 10:07:45
Rheinmetall Aktiengesellschaft;40002496;DE0007030009;ATP Holding GmbH;in enger Beziehung;Aktie;Sonstiges;235,90 EUR;1.262.065,00 EUR;23.03.2023;20.03.2023;;24.03.2023 10:07:45
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;26,19 EUR;19.930,30 EUR;22.03.2023;20.03.2023;Xetra;23.03.2023 08:55:10
Neon Equity AG;40029518;DE000A3DW408;TO Holding 1 GmbH;in enger Beziehung;Aktie;Kauf;11,12 EUR;7.230,00 EUR;22.03.2023;20.03.2023;Xetra;23.03.2023 08:55:10
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Obotritia Alpha Invest GmbH;in enger Beziehung;Aktie;Verkauf;7,30 EUR;2.008.485,50 EUR;22.03.2023;20.03.2023;;22.03.2023 15:53:39
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Obotritia Capital KGaA;in enger Beziehung;Aktie;Sonstiges;;;22.03.2023;20.03.2023;;22.03.2023 15:41:35
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Obotritia Capital KGaA;in enger Beziehung;Aktie;Kauf;7,30 EUR;2.008.485,50 EUR;22.03.2023;20.03.2023;;22.03.2023 15:35:09
Vantage Towers AG;40030877;DE000A3H3LL2;Sommer, Christian;Vorstand;Aktie;Sonstiges;32,00 EUR;76.512,00 EUR;17.03.2023;17.03.2023;;17.03.2023 14:45:17
Vantage Towers AG;40030877;DE000A3H3LL2;Reisten, Thomas;Vorstand;Aktie;Sonstiges;32,00 EUR;202.016,00 EUR;17.03.2023;17.03.2023;;17.03.2023 14:45:17
Vantage Towers AG;40030877;DE000A3H3LL2;Badrinath, Vivek;Vorstand;Aktie;Sonstiges;32,00 EUR;791.264,00 EUR;17.03.2023;17.03.2023;;17.03.2023 14:45:17
GRENKE AG;10121961;DE000A161N30;Hirsch, Dr. Sebastian;Vorstand;Aktie;Kauf;24,32 EUR;24.316,52 EUR;17.03.2023;17.03.2023;XETRA;17.03.2023 11:08:48
Elmos Semiconductor SE;40001726;DE0005677108;Dienstuhl, Dr. Jan;Vorstand;Aktie;Kauf;81,54 EUR;24.461,80 EUR;20.03.2023;17.03.2023;Xetra;20.03.2023 15:49:22
technotrans SE;40001600;DE000A0XYGA7;Finger, Michael;Vorstand;Aktie;Kauf;27,30 EUR;50.505,00 EUR;20.03.2023;17.03.2023;XETRA;20.03.2023 15:25:09
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;26,60 EUR;12.635,00 EUR;20.03.2023;17.03.2023;Xetra;21.03.2023 09:41:56
Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München;40001467;DE0008430026;Golling, Stefan;Vorstand;Aktie;Kauf;305,69 EUR;100.879,10 EUR;17.03.2023;16.03.2023;XETRA;17.03.2023 14:58:22
KION GROUP AG;40020514;DE000KGX8881;Dandashly, Hasan;Vorstand;Aktie;Kauf;29,79 EUR;68.508,37 EUR;17.03.2023;16.03.2023;;17.03.2023 14:51:59
STRATEC SE;40001599;DE000STRA555;Wolfinger, Marcus;Vorstand;Aktie;Kauf;67,50 EUR;10.125,00 EUR;17.03.2023;16.03.2023;QUOTRIX;17.03.2023 10:06:13
LANXESS Aktiengesellschaft;40003014;DE0005470405;Borkowsky, Dr. Anno;Vorstand;Aktie;Kauf;33,61 EUR;63.858,53 EUR;16.03.2023;16.03.2023;Xetra;17.03.2023 07:44:37
LANXESS Aktiengesellschaft;40003014;DE0005470405;Fink, Dr. Hubert;Vorstand;Aktie;Kauf;33,51 EUR;100.515,00 EUR;16.03.2023;16.03.2023;Tradegate;17.03.2023 07:44:37
LANXESS Aktiengesellschaft;40003014;DE0005470405;Pontzen, Michael;Vorstand;Aktie;Kauf;33,66 EUR;100.989,00 EUR;16.03.2023;16.03.2023;Tradegate;17.03.2023 07:44:37
LANXESS Aktiengesellschaft;40003014;DE0005470405;Zachert, Matthias;Vorstand;Aktie;Kauf;33,59 EUR;200.550,40 EUR;16.03.2023;16.03.2023;Tradegate;17.03.2023 07:44:37
Deutsche Beteiligungs AG;40000951;DE000A1TNUT7;Alzin, Tom;Vorstand;Aktie;Kauf;26,73 EUR;133.668,41 EUR;16.03.2023;16.03.2023;XETRA;17.03.2023 07:39:03
LEG Immobilien SE;40019594;DE000LEG1110;von Lackum, Lars;Vorstand;Aktie;Kauf;59,10 EUR;11.642,70 EUR;20.03.2023;16.03.2023;Tradegate;20.03.2023 14:13:56
Deutsche Telekom AG;40000239;;Langheim, Thorsten;Vorstand;Derivat;Verkauf;3,86 EUR;28.950,00 EUR;17.03.2023;16.03.2023;;20.03.2023 10:15:44
Deutsche Telekom AG;40000239;;Langheim, Thorsten;Vorstand;Derivat;Verkauf;3,81 EUR;57.150,00 EUR;17.03.2023;16.03.2023;;20.03.2023 10:06:37
Deutsche Telekom AG;40000239;;Langheim, Thorsten;Vorstand;Derivat;Verkauf;4,72 EUR;59.000,00 EUR;17.03.2023;16.03.2023;;20.03.2023 10:06:37
Deutsche Telekom AG;40000239;;Langheim, Thorsten;Vorstand;Derivat;Verkauf;4,54 EUR;34.050,00 EUR;17.03.2023;16.03.2023;;20.03.2023 10:06:37
Deutsche Telekom AG;40000239;;Langheim, Thorsten;Vorstand;Derivat;Verkauf;3,95 EUR;39.500,00 EUR;17.03.2023;16.03.2023;;20.03.2023 10:06:37
Fresenius Medical Care AG & Co. KGaA;40001001;DE0005785802;Mazur-Hofsäß, Dr. Katarzyna;Vorstand;Aktie;Kauf;36,81 EUR;4.343,80 EUR;21.03.2023;16.03.2023;Aquis Exchange Europe;22.03.2023 08:47:28
Fresenius Medical Care AG & Co. KGaA;40001001;DE0005785802;Mazur-Hofsäß, Dr. Katarzyna;Vorstand;Aktie;Kauf;36,81 EUR;9.608,67 EUR;21.03.2023;16.03.2023;XETRA;22.03.2023 08:47:28
Fresenius Medical Care AG & Co. KGaA;40001001;DE0005785802;Mazur-Hofsäß, Dr. Katarzyna;Vorstand;Aktie;Kauf;36,84 EUR;11.199,36 EUR;21.03.2023;16.03.2023;Turqoise Europe;22.03.2023 08:47:28
Fresenius Medical Care AG & Co. KGaA;40001001;DE0005785802;Mazur-Hofsäß, Dr. Katarzyna;Vorstand;Aktie;Kauf;36,81 EUR;10.933,84 EUR;21.03.2023;16.03.2023;CBOE Europe;22.03.2023 08:47:28
Neon Equity AG;40029518;DE000A3DW408;TO Holding 1 GmbH;in enger Beziehung;Aktie;Kauf;11,20 EUR;5.600,00 EUR;21.03.2023;16.03.2023;Xetra;22.03.2023 08:29:29
BAUER Aktiengesellschaft;40005060;DE0005168108;SD Thesaurus GmbH;in enger Beziehung;Aktie;Sonstiges;6,00 EUR;72.000.000,00 EUR;21.03.2023;16.03.2023;;22.03.2023 08:23:53
BAUER Aktiengesellschaft;40005060;DE0005168108;Doblinger Beteiligung GmbH;in enger Beziehung;Aktie;Sonstiges;6,00 EUR;17.400.000,00 EUR;21.03.2023;16.03.2023;;22.03.2023 08:23:53
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Babelsberger Beteiligungs GmbH;in enger Beziehung;Aktie;Verkauf;7,80 EUR;551.616,00 EUR;21.03.2023;16.03.2023;;22.03.2023 08:18:26
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Obotritia Alpha Invest GmbH;in enger Beziehung;Aktie;Sonstiges;;;21.03.2023;16.03.2023;;22.03.2023 08:18:26
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Obotritia Alpha Invest GmbH;in enger Beziehung;Aktie;Kauf;7,80 EUR;551.616,00 EUR;21.03.2023;16.03.2023;;21.03.2023 16:56:11
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;26,44 EUR;19.829,40 EUR;20.03.2023;16.03.2023;Xetra;21.03.2023 09:41:56
Enapter AG;20000275;;BluGreen Company Limited;in enger Beziehung;Derivat;Sonstiges;;;20.03.2023;16.03.2023;;20.03.2023 13:27:37
JDC Group AG;40005122;DE000A0B9N37;Grace Beteiligungs GmbH;in enger Beziehung;Aktie;Kauf;16,45 EUR;3.290,00 EUR;17.03.2023;16.03.2023;XETRA;17.03.2023 17:26:39
METRO AG;40025939;DE000BFB0019;Sarrailh, Claude;Vorstand;Aktie;Kauf;7,53 EUR;116.530,14 EUR;17.03.2023;15.03.2023;XETRA;17.03.2023 11:26:46
Fraport AG Frankfurt Airport Services Worldwide;40002401;DE0005773303;Kranenberg, Julia;Vorstand;Aktie;Kauf;47,03 EUR;224.364,13 EUR;16.03.2023;15.03.2023;Tradegate;17.03.2023 07:39:03
LEG Immobilien SE;40019594;DE000LEG1110;von Lackum, Lars;Vorstand;Aktie;Kauf;59,30 EUR;29.650,00 EUR;16.03.2023;15.03.2023;Tradegate;17.03.2023 07:33:49
